Time,Voltage
2080.832,0.116634
2080.896,0.116636
2080.96,0.116638
2081.024,0.116635
2081.088,0.116641
2081.152,0.116646
2081.216,0.116645
2081.28,0.116642
2081.344,0.116629
2081.408,0.116629
2081.472,0.116631
2081.536,0.116629
2081.6,0.116628
2081.664,0.116628
2081.728,0.116629
2081.792,0.116629
2081.856,0.116623
2081.92,0.116615
2081.984,0.116616
2082.048,0.11662
2082.112,0.11662
2082.176,0.11662
2082.24,0.116614
2082.304,0.116604
2082.368,0.116602
2082.432,0.116603
2082.496,0.116597
2082.56,0.116589
2082.624,0.116585
2082.688,0.116578
2082.752,0.116578
2082.816,0.116581
2082.88,0.116586
2082.944,0.116593
2083.008,0.1166
2083.072,0.116599
2083.136,0.116607
2083.2,0.116608
2083.264,0.116603
2083.328,0.116595
2083.392,0.116599
2083.456,0.116601
2083.52,0.116599
2083.584,0.116605
2083.648,0.116613
2083.712,0.116614
2083.776,0.116619
2083.84,0.116623
2083.904,0.116621
2083.968,0.116626
2084.032,0.116623
2084.096,0.116621
2084.16,0.116623
2084.224,0.116623
2084.288,0.116619
2084.352,0.116617
2084.416,0.116625
2084.48,0.11663
2084.544,0.116617
2084.608,0.116609
2084.672,0.116613
2084.736,0.116612
2084.8,0.116616
2084.864,0.116622
2084.928,0.116618
2084.992,0.116615
2085.056,0.116605
2085.12,0.116606
2085.184,0.116609
2085.248,0.116612
2085.312,0.116606
2085.376,0.116601
2085.44,0.1166
2085.504,0.116578
2085.568,0.11658
2085.632,0.116588
2085.696,0.116588
2085.76,0.116589
2085.824,0.116592
2085.888,0.116588
2085.952,0.116585
2086.016,0.116591
2086.08,0.116593
2086.144,0.116593
2086.208,0.116596
2086.272,0.116601
2086.336,0.1166
2086.4,0.116595
2086.464,0.116596
2086.528,0.116593
2086.592,0.116593
2086.656,0.116595
2086.72,0.116594
2086.784,0.116589
2086.848,0.116577
2086.912,0.116578
2086.976,0.11658
2087.04,0.116578
2087.104,0.116574
2087.168,0.116572
2087.232,0.116575
2087.296,0.116571
2087.36,0.116573
2087.424,0.116565
2087.488,0.116561
2087.552,0.116569
2087.616,0.116576
2087.68,0.116573
2087.744,0.116575
2087.808,0.116572
2087.872,0.116565
2087.936,0.11656
2088,0.116559
2088.064,0.11657
2088.128,0.116573
2088.192,0.116563
2088.256,0.116565
2088.32,0.116565
2088.384,0.11656
2088.448,0.116568
2088.512,0.116577
2088.576,0.116581
2088.64,0.116577
2088.704,0.116579
2088.768,0.116577
2088.832,0.116579
2088.896,0.116572
2088.96,0.116568
2089.024,0.116573
2089.088,0.116566
2089.152,0.116566
2089.216,0.116561
2089.28,0.116565
2089.344,0.116564
2089.408,0.116561
2089.472,0.116561
2089.536,0.116566
2089.6,0.116572
2089.664,0.116567
2089.728,0.11657
2089.792,0.116567
2089.856,0.116573
2089.92,0.116587
2089.984,0.116591
2090.048,0.116593
2090.112,0.116591
